Time|Exchange|Symbol|Bid_Price|Bid_Size|Offer_Price|Offer_Size|Quote_Condition|Sequence_Number|National_BBO_Ind|FINRA_BBO_Indicator|FINRA_ADF_MPID_Indicator|Quote_Cancel_Correction|Source_Of_Quote|Retail_Interest_Indicator|Short_Sale_Restriction_Indicator|LULD_BBO_Indicator|SIP_Generated_Message_Identifier|National_BBO_LULD_Indicator|Participant_Timestamp|FINRA_ADF_Timestamp|FINRA_ADF_Market_Participant_Quote_Indicator|Security_Status_Indicator
092832979563149|J|ZTAX|23.69|1|27.23|2|R|717344|A| |||C||||||092832979327000||| 
092832979603325|J|ZTAX|23.69|1|26.59|1|R|717345|A| |||C||||||092832979374000||| 
092832979984246|T|ZTAX|23.69|2|26.59|1|R|717346|A| |||C||||||092832979633860||| 
092832979994321|T|ZTAX|23.69|2|26.59|2|R|717347|A| |||C||||||092832979644757||| 
092838032039395|Y|ZTAX|23.69|1|27.23|1|R|718212|A| |||C||||||092838031808000||| 
092838032044444|Z|ZTAX|23.69|1|27.23|1|R|718213|A| |||C||||||092838031810000||| 
092838032044444|Y|ZTAX|23.69|1|26.59|1|R|718214|A| |||C||||||092838031818000||| 
092838032049439|J|ZTAX|23.69|2|26.59|1|R|718215|A| |||C||||||092838031815000||| 
092838032049439|Z|ZTAX|23.69|1|26.59|1|R|718216|A| |||C||||||092838031822000||| 
092838032054422|J|ZTAX|23.69|2|26.59|2|R|718217|A| |||C||||||092838031829000||| 
092838032059472|K|ZTAX|23.69|1|27.23|1|R|718218|A| |||C||||||092838031823000||| 
092838032064465|K|ZTAX|23.69|1|26.59|1|R|718219|A| |||C||||||092838031836000||| 
092838032335136|T|ZTAX|23.69|3|26.59|2|R|718220|A| |||C||||||092838031987138||| 
092838032350126|T|ZTAX|23.69|3|26.59|3|R|718221|A| |||C||||||092838032000887||| 
092959539660856|T|ZTAX|23.93|1|26.59|3|R|736316|A| |||C||||||092959539309347||| 
092959539665424|T|ZTAX|23.93|1|26.33|1|R|736317|A| |||C||||||092959539314241||| 
092959760421742|T|ZTAX|23.69|3|26.33|1|R|736750|A| |||C||||||092959760071674||| 
092959760672395|T|ZTAX|23.69|3|26.59|3|R|736751|A| |||C||||||092959760325472||| 
093000534216988|P|ZTAX|24.68|1|25.56|1|R|743999|A| |||C||||S|A|090646746560965||| 
093000534703033|P|ZTAX|24.85|4|25.56|1|R|744000|G| |||C|||||A|093000534668860||| 
093000535444786|H|ZTAX|0|0|0|0|R|744001|A| |||C|||||A|093000535073412||| 
093000580903202|T|ZTAX|23.93|1|26.59|3|R|744265|A| |||C|||||A|093000580542504||| 
093000581334253|T|ZTAX|23.93|1|26.33|1|R|744267|A| |||C|||||A|093000580977091||| 
093000732840405|Z|ZTAX|24.76|1|26.59|1|R|745079|A| |||C|||||A|093000732608000||| 
093001732920002|Z|ZTAX|24.76|1|25.66|1|R|751574|A| |||C|||||A|093001732687000||| 
093513005304645|J|ZTAX|24.35|1|26.59|2|R|1452487|A| |||C|||||A|093513005072000||| 
093513005319539|J|ZTAX|24.35|1|26.08|1|R|1452488|A| |||C|||||A|093513005090000||| 
093513005600400|T|ZTAX|24.35|1|26.33|1|R|1452489|A| |||C|||||A|093513005251195||| 
093513005610265|T|ZTAX|24.35|1|26.08|1|R|1452490|A| |||C|||||A|093513005263364||| 
094404532708919|J|ZTAX|23.85|1|26.08|1|R|3190647|A| |||C|||||A|094404532474000||| 
094404532713895|J|ZTAX|23.85|1|26.59|2|R|3190648|A| |||C|||||A|094404532487000||| 
094404532989503|T|ZTAX|23.93|1|26.08|1|R|3190649|A| |||C|||||A|094404532637571||| 
094404533004540|T|ZTAX|23.93|1|26.33|1|R|3190650|A| |||C|||||A|094404532651288||| 
094604568799716|J|ZTAX|24.35|1|26.59|2|R|3453342|A| |||C|||||A|094604568566000||| 
094604568809774|J|ZTAX|24.35|1|26.08|1|R|3453343|A| |||C|||||A|094604568579000||| 
094604569090364|T|ZTAX|24.35|1|26.33|1|R|3453344|A| |||C|||||A|094604568737143||| 
094604569100358|T|ZTAX|24.35|1|26.08|1|R|3453345|A| |||C|||||A|094604568749433||| 
094735001832811|P|ZTAX|24.85|4|25.2|1|R|3717058|G| |||C|||||A|094735001807337||| 
094735002208603|Z|ZTAX|24.76|1|26.59|1|R|3717059|A| |||C|||||A|094735001976000||| 
094735032475863|T|ZTAX|24.35|1|25.96|1|R|3717191|A| |||C|||||A|094735032121401||| 
094735038836031|J|ZTAX|24.35|1|25.71|1|R|3717192|A| |||C|||||A|094735038599000||| 
094735041111475|T|ZTAX|24.35|1|25.71|1|R|3717197|A| |||C|||||A|094735040759665||| 
094735167903674|Y|ZTAX|23.69|1|26.21|1|R|3717414|A| |||C|||||A|094735167671000||| 
094735167913768|Z|ZTAX|24.76|1|26.21|1|R|3717415|A| |||C|||||A|094735167681000||| 
094735167923805|K|ZTAX|23.69|1|26.21|1|R|3717416|A| |||C|||||A|094735167689000||| 
094735733281689|Z|ZTAX|24.76|1|25.3|1|R|3719411|A| |||C|||||A|094735733050000||| 
094758314083187|K|ZTAX|23.69|1|26.21|1|R|3778836|A| |||C|||||A|094758313845000||| 
094800203197184|K|ZTAX|23.69|1|26.21|1|R|3783817|A| |||C|||||A|094800202967000||| 
094841355220680|K|ZTAX|23.69|1|26.21|1|R|3899454|A| |||C|||||A|094841354983000||| 
094842569480732|K|ZTAX|23.69|1|26.21|1|R|3901621|A| |||C|||||A|094842569251000||| 
095525339021882|K|ZTAX|23.69|1|26.21|1|R|5247307|A| |||C|||||A|095525338782000||| 
095527637988165|K|ZTAX|23.69|1|26.21|1|R|5255487|A| |||C|||||A|095527637756000||| 
095615508560652|K|ZTAX|23.69|1|26.21|1|R|5390945|A| |||C|||||A|095615508326000||| 
095616871209491|K|ZTAX|23.69|1|26.21|1|R|5392802|A| |||C|||||A|095616870977000||| 
095620666829056|K|ZTAX|23.69|1|26.21|1|R|5403530|A| |||C|||||A|095620666594000||| 
095621948083774|K|ZTAX|23.69|1|26.21|1|R|5406677|A| |||C|||||A|095621947855000||| 
095904528672541|J|ZTAX|23.85|1|25.71|1|R|5741346|A| |||C|||||A|095904528434000||| 
095904528677470|J|ZTAX|23.85|1|26.21|2|R|5741347|A| |||C|||||A|095904528448000||| 
095904528953114|T|ZTAX|23.93|1|25.71|1|R|5741348|A| |||C|||||A|095904528598954||| 
095904528963146|T|ZTAX|23.93|1|25.96|1|R|5741349|A| |||C|||||A|095904528612923||| 
095904945952360|P|ZTAX|24.9|1|25.2|1|R|5741993|G| |||C|||||A|095904945928731||| 
095904946328148|Z|ZTAX|23.69|1|25.3|1|R|5741994|A| |||C|||||A|095904946096000||| 
095905733179148|Z|ZTAX|24.81|1|25.3|1|R|5742829|A| |||C|||||A|095905732939000||| 
095907779337590|P|ZTAX|24.85|4|25.2|1|R|5745620|G| |||C|||||A|095907779313218||| 
095907779708459|Z|ZTAX|23.69|1|25.3|1|R|5745621|A| |||C|||||A|095907779481000||| 
095908733166763|Z|ZTAX|24.76|1|25.3|1|R|5747518|A| |||C|||||A|095908732924000||| 
095911129770627|P|ZTAX|24.9|1|25.2|1|R|5749739|G| |||C|||||A|095911129744963||| 
095911130141540|Z|ZTAX|23.69|1|25.3|1|R|5749740|A| |||C|||||A|095911129914000||| 
095911733129281|Z|ZTAX|24.81|1|25.3|1|R|5750415|A| |||C|||||A|095911732898000||| 
095913914820735|P|ZTAX|24.85|4|25.2|1|R|5753578|G| |||C|||||A|095913914792834||| 
095913915191655|Z|ZTAX|23.69|1|25.3|1|R|5753579|A| |||C|||||A|095913914961000||| 
095914733086751|Z|ZTAX|24.76|1|25.3|1|R|5755944|A| |||C|||||A|095914732852000||| 
100104601875677|J|ZTAX|24.35|1|26.21|2|R|6017260|A| |||C|||||A|100104601640000||| 
100104601880743|J|ZTAX|24.35|1|25.71|1|R|6017261|A| |||C|||||A|100104601654000||| 
