Time|Exchange|Symbol|Bid_Price|Bid_Size|Offer_Price|Offer_Size|Quote_Condition|Sequence_Number|National_BBO_Ind|FINRA_BBO_Indicator|FINRA_ADF_MPID_Indicator|Quote_Cancel_Correction|Source_Of_Quote|Retail_Interest_Indicator|Short_Sale_Restriction_Indicator|LULD_BBO_Indicator|SIP_Generated_Message_Identifier|National_BBO_LULD_Indicator|Participant_Timestamp|FINRA_ADF_Timestamp|FINRA_ADF_Market_Participant_Quote_Indicator|Security_Status_Indicator
154706032030749|U|YHGJ|.7824|1|.81|1|R|96802324|0||||N||0|||A|154706031855664||| 
154945875771605|U|YHGJ|.7824|1|.81|1|R|97390115|0||||N||0|||A|154945875599329||| 
154946748647259|U|YHGJ|.7824|1|.81|1|R|97392731|0||||N||0|||A|154946748475342||| 
154946756715549|U|YHGJ|.7824|1|.81|1|R|97392755|0||||N||0|||A|154946756547381||| 
154946756819093|U|YHGJ|.7824|1|.81|1|R|97392756|0||||N||0|||A|154946756649564||| 
154947099219799|U|YHGJ|.7824|1|.81|1|R|97393959|0||||N||0|||A|154947099049922||| 
154951717125316|U|YHGJ|.7824|1|.8494|10|R|97408126|3||||N||0|||A|154951716951504||| 
154951717180272|Z|YHGJ|.7793|1|.8505|1|R|97408127|0||||N||0|||A|154951717004000||| 
154952589913040|Z|YHGJ|.7793|1|.8162|1|R|97411309|0||||N||0|||A|154952589733000||| 
154954994843199|U|YHGJ|.7824|1|.8494|10|R|97417689|0||||N||0|||A|154954994669198||| 
154955785094860|U|YHGJ|.7824|1|.8494|10|R|97425291|0||||N||0|||A|154955784922596||| 
155320008898382|Y|YHGJ|0|0|.813|1|Y|98564116|0||||N||0|||A|155320008719000||| 
155506050103290|Y|YHGJ|0|0|.813|1|Y|99266092|0||||N||0|||A|155506049918000||| 
155556064233823|U|YHGJ|.7824|1|.8494|10|R|99576188|0||||N||0|||A|155556064060119||| 
155557802425409|U|YHGJ|.7824|1|.8494|9|R|99584120|0||||N||0|||A|155557802254718||| 
155557804046583|Q|YHGJ|.7665|2|.813|1|R|99584121|3||||N||0|||A|155557804033658||| 
155557804853893|Y|YHGJ|0|0|.813|1|Y|99584122|0||||N||0|||A|155557804674000||| 
155557804858859|Y|YHGJ|0|0|0|0|L|99584123|3||||N||0|||A|155557804684000||| 
155559074594565|Y|YHGJ|0|0|.81|1|Y|99588199|3||||N||0|||A|155559074415000||| 
